"","year","lowerCI","mean","upperCI","herd","scenario"
"6643","2008",1.16611343756709,1.17446289463202,1.18030102859111,"WSA","NI"
"6644","2009",1.16527933388034,1.17404199094738,1.18017277833965,"WSA","NI"
"6645","2010",1.16442203925807,1.17367206490924,1.1800390692386,"WSA","NI"
"6646","2011",1.1643797934697,1.17338658528142,1.1797910311974,"WSA","NI"
"6647","2012",1.16418055570479,1.17336383249168,1.17989810809024,"WSA","NI"
"6648","2013",1.16481419099935,1.17364577860093,1.1800959048621,"WSA","NI"
"6649","2014",1.16480821383639,1.17330335646376,1.18003060693702,"WSA","NI"
"6650","2015",1.16400946548031,1.1729253823056,1.17983020084431,"WSA","NI"
"6651","2016",1.1635361404246,1.17249606252367,1.17960258903504,"WSA","NI"
"6652","2017",1.16334323222466,1.17217243409759,1.17949950781279,"WSA","NI"
"6653","2018",1.16221837537869,1.17173677486204,1.17949695844484,"WSA","NI"
"6654","2019",1.16168192411862,1.17138902520879,1.17917642902143,"WSA","NI"
"6655","2020",1.16094365198973,1.17108291450967,1.17904764277288,"WSA","NI"
"6656","2021",1.16006136174028,1.17077983313197,1.17859486685893,"WSA","NI"
"6657","2022",1.16004702560799,1.17047613054166,1.17826106653479,"WSA","NI"
"6658","2023",1.15932369541011,1.17002768596517,1.17821175302397,"WSA","NI"
"6659","2024",1.15872068917541,1.16961115042518,1.17786432471345,"WSA","NI"
"6660","2025",1.15852145919642,1.1693333742349,1.17750913891666,"WSA","NI"
"6661","2026",1.15854195376935,1.16904779278851,1.1773935509367,"WSA","NI"
"6662","2027",1.15778807250448,1.16868201203433,1.17711483751593,"WSA","NI"
"6663","2028",1.15769176880697,1.16836299263075,1.17693932790833,"WSA","NI"
"6664","2029",1.16182035062299,1.17254592214503,1.18153625174577,"WSA","NI"
"6665","2030",1.16239481949389,1.17304226121825,1.18237736983371,"WSA","NI"
"6666","2031",1.16184558891496,1.17283982397728,1.18214834018561,"WSA","NI"
"6667","2032",1.16094405123068,1.17247959792917,1.1816219828417,"WSA","NI"
"6668","2033",1.16090569777492,1.17295945178978,1.18231168617613,"WSA","NI"
"6669","2034",1.16087010311862,1.17274915039844,1.18212085308493,"WSA","NI"
"6670","2035",1.16061126997219,1.17250015765742,1.18145486253731,"WSA","NI"
"6671","2036",1.16013569977658,1.17214515683606,1.18144466770459,"WSA","NI"
"6672","2037",1.16036742504017,1.1726554356989,1.18242658335846,"WSA","NI"
"6673","2038",1.15958594892231,1.17221710169783,1.18232857518892,"WSA","NI"
"6674","2039",1.1592548976477,1.17214996665722,1.18261392790937,"WSA","NI"
"6675","2040",1.15895635285878,1.17213593378919,1.18233250672776,"WSA","NI"
"6676","2041",1.15984467204191,1.17220634724856,1.18214724833707,"WSA","NI"
"6677","2042",1.16000866270548,1.17229739142772,1.18253081012904,"WSA","NI"
"6678","2043",1.16056261958384,1.17223278174367,1.1819999105933,"WSA","NI"
"6679","2044",1.15918108191943,1.17214469346529,1.18158141577764,"WSA","NI"
"6680","2045",1.15987481227782,1.17223773246428,1.18209511168162,"WSA","NI"
"6681","2046",1.15987457476516,1.17229108922904,1.1824344962135,"WSA","NI"
"6682","2047",1.16127217919663,1.17242894156183,1.18203262397449,"WSA","NI"
"6683","2048",1.15991440393556,1.17252584662265,1.18214713052348,"WSA","NI"
"6684","2049",1.16097372079204,1.17253006702383,1.18198024820467,"WSA","NI"
"6685","2050",1.15993148486412,1.17244839108172,1.18183695692867,"WSA","NI"
"6686","2051",1.16023963180012,1.17237901457544,1.18168086138639,"WSA","NI"
"6687","2052",1.16003664195227,1.17238071431663,1.18146027705229,"WSA","NI"
"6688","2053",1.16000333825041,1.1722534491583,1.18143366627539,"WSA","NI"
"6689","2054",1.15955843375877,1.17225115612993,1.18160998889014,"WSA","NI"
"6690","2055",1.15953560452518,1.1723844305542,1.18148306669207,"WSA","NI"
"6691","2056",1.15978484229714,1.17238238373214,1.18144658099346,"WSA","NI"
"6692","2057",1.16014134594723,1.17245255563751,1.18159183948001,"WSA","NI"
"6693","1819",1.02711442475736,1.03185238239572,1.03684365053842,"WSA","NIHB"
"6694","1820",1.02684633717688,1.03188225491119,1.03687914826833,"WSA","NIHB"
"6695","1821",1.02690586596356,1.03193088133247,1.03671817987548,"WSA","NIHB"
"6696","1822",1.02706318982012,1.03197605687685,1.03685446709098,"WSA","NIHB"
"6697","1823",1.02718123158385,1.03203649833595,1.03664514441037,"WSA","NIHB"
"6698","1824",1.02721195908512,1.03205724252871,1.03653054249935,"WSA","NIHB"
"6699","1825",1.02726783419164,1.03210978373955,1.03710444495886,"WSA","NIHB"
"6700","1826",1.02731489754098,1.03216953486359,1.03713855273481,"WSA","NIHB"
"6701","1827",1.02765954499103,1.0321278554741,1.03704639212943,"WSA","NIHB"
"6702","1828",1.02743068970737,1.0321393374758,1.03711132027872,"WSA","NIHB"
"6703","1829",1.02727482028381,1.03212670413726,1.03695986281736,"WSA","NIHB"
"6704","1830",1.02717340268535,1.03217821584112,1.03700263229117,"WSA","NIHB"
"6705","1831",1.02681436132229,1.03212768371837,1.03649479694393,"WSA","NIHB"
"6706","1832",1.02711974887787,1.03216115831962,1.03693705909044,"WSA","NIHB"
